n,Jn(1),Jn(5),Jn(50)
0,0.76519768656,-0.17759677131,0.055812327669
1,0.44005058574,-0.32757913759,-0.097511828125
2,0.11490348493,0.046565116278,-0.059712800794
3,0.019563353983,0.36483123061,0.092734804062
4,0.0024766389641,0.39123236046,0.070840977282
5,0.00024975773021,0.26114054612,-0.081400247697
6,2.0938338002E-05,0.13104873178,-0.087121026821
7,1.5023258174E-06,0.053376410156,0.06049120126
8,9.4223441726E-08,0.018405216655,0.10405856317
9,5.2492501799E-09,0.0055202831385,-0.027192461044
10,2.6306151237E-10,0.0014678026473,-0.11384784915
